post_id	date	message	num_likes	num_angry	num_shares
904277726319518_2681682781912328	2019-11-30T11:12:45+0000	"Coluna da semana sobre d\u00f3lar, contas externas e rumos da economia."	830	13	79
904277726319518_2671431079604165	2019-11-25T23:00:07+0000	"Fernando Haddad entrevista o Senador Humberto Costa (PT-PE)."	2006	12	294
904277726319518_2670632116350728	2019-11-25T15:18:11+0000	"Parab\u00e9ns companheira Gleisi pela disposi\u00e7\u00e3o em liderar o PT por mais um mandato. Coragem \u00e9 o que n\u00e3o te falta. Grande abra\u00e7o!!\n\nFoto: Ricardo Stuckert"	8096	16	327
904277726319518_2665632440184029	2019-11-23T14:25:44+0000	"Com o Presidente Lula na abertura do 7\u00ba Congresso do PT. \n\nFoto: Ricardo Stuckert"	7433	12	417
904277726319518_2665370230210250	2019-11-23T12:13:03+0000	"O pr\u00f3ximo Painel Haddad \u00e9 com meu querido amigo Humberto Costa, l\u00edder do PT no Senado. Acompanhe nas nossas redes, na pr\u00f3xima segunda-feira, \u00e0s 20h."	5119	11	181
904277726319518_2665184326895507	2019-11-23T10:22:50+0000	"Minha coluna da semana sobre o recrudescimento do racismo, sob Bolsonaro."	1143	4	108
904277726319518_2658779977535942	2019-11-20T14:52:33+0000	"\u00c1FRICA NAS ESCOLAS\nNo MEC, traduzimos os oito volumes da obra \"Hist\u00f3ria Geral da \u00c1frica\" da UNESCO para o portugu\u00eas. E depois sintetizamos em dois livros. Como prefeito de SP, transformamos aquele material em livro did\u00e1tico, para fazer parte da forma\u00e7\u00e3o b\u00e1sica dos estudantes da rede municipal."	9381	9	2365
904277726319518_2656883197725620	2019-11-19T17:12:46+0000	"Moro sempre foi agente pol\u00edtico. Entrevista que dei ao Fabio Pannunzio."	3264	12	545
904277726319518_467618857207259	2019-11-18T23:00:31+0000	"Fernando Haddad entrevista o economista Eduardo Moreira."	5234	16	2091
904277726319518_2654140924666514	2019-11-18T10:55:30+0000	"Tem alguma sa\u00edda para esse modelo liberal ortodoxo do ministro Paulo Guedes? Como o sistema financeiro se alimenta da pobreza da maioria da popula\u00e7\u00e3o? Esses e outros temas vou debater com o economista Eduardo Moreira, hoje no Painel Haddad, \u00e0s 20h."	10074	10	649
904277726319518_2653317308082209	2019-11-18T01:17:16+0000	"Valeu, Recife! No Festival Lula Livre. \n\nFoto: Ricardo Stuckert"	17202	24	996
904277726319518_2149882978649266	2019-11-18T00:13:29+0000	"AO VIVO - Festival Lula Livre em Recife. #FestivalComLulaLivre"	3266	71	305
904277726319518_556456315181560	2019-11-17T15:58:35+0000	"AO VIVO: Festival Lula Livre - Direto de Recife"	5257	89	948
904277726319518_2649510065129600	2019-11-16T11:17:16+0000	"A coluna desta semana \u00e9 sobre \u201cGolpes\u201d na Am\u00e9rica Latina: os aparentemente inofensivos, os h\u00edbridos ou soft e os hard."	1523	9	257
904277726319518_2639518476128759	2019-11-11T23:00:45+0000	"Fernando Haddad entrevista Fernando Meirelles - parte 2."	2150	10	265
904277726319518_2638532779560662	2019-11-11T13:13:05+0000	"Hoje, \u00e0s 22h30, vai ao ar a entrevista que dei para o querido Gilberto Gil no Canal Brasil. \n\nFoto: Ricardo Stuckert"	3491	4	178
904277726319518_2638485776232029	2019-11-11T12:49:39+0000	""	12357	19	598
904277726319518_2637395089674431	2019-11-11T00:09:18+0000	"A OEA abriu caminho para o golpe na Bol\u00edvia. Podia se manifestar sobre o que acha dos \u00faltimos acontecimentos."	4831	87	210
904277726319518_2636527093094564	2019-11-10T14:58:41+0000	"Fico impressionado com o medo que tanta gente armada tem de UM homem desarmado!"	25625	10	2281
904277726319518_2634874279926512	2019-11-09T20:19:52+0000	"Nos bra\u00e7os do povo. \n#LulaLivre\n\nFoto: Ricardo Stuckert"	13958	31	1414
904277726319518_2634034716677135	2019-11-09T12:14:23+0000	"#LulaLivre\n\nFoto: Ricardo Stuckert"	40297	78	2931
904277726319518_2630865796994027	2019-11-08T01:03:43+0000	"O STF j\u00e1 declarou que:\n1) a condu\u00e7\u00e3o coercitiva de Lula foi ilegal;\n2) o vazamento das conversas com a Dilma foi ilegal;\n3) o impedimento de que Lula tomasse posse como ministro foi manipulado.\nFalta declarar:\n4) a suspei\u00e7\u00e3o de Moro por parcialidade."	23929	61	3244
904277726319518_2630575127023094	2019-11-07T21:39:20+0000	"Glenn \u00e9 um gigante do jornalismo internacional diante do rebotalho do jornalismo local que \u00e9 o Augusto Nunes. O pedido de desculpas da Jovem Pan \u00e9 importante, mas n\u00e3o suficiente pelo mal que esse sujeito faz \u00e0 democracia brasileira. Augusto Nunes n\u00e3o honra a profiss\u00e3o."	17388	46	871
904277726319518_2627444690669471	2019-11-06T10:51:51+0000	"SA\u00daDE E EDUCA\u00c7\u00c3O\nO pacote de Guedes envolve uma infinidade de medidas, mas uma consequ\u00eancia ineg\u00e1vel para quem entende de finan\u00e7as p\u00fablicas \u00e9 a drenagem de dezenas de bilh\u00f5es de reais de recursos da educa\u00e7\u00e3o para a sa\u00fade."	2905	252	233
904277726319518_731504774018175	2019-11-04T23:02:10+0000	"Fernando Haddad entrevista o cineasta Fernando Meirelles."	3071	21	513
904277726319518_2623440541069886	2019-11-04T14:01:23+0000	"Hoje, \u00e0s 20h, entrevisto o cineasta Fernando Meirelles. N\u00f3s vamos conversar sobre o atual momento do cinema brasileiro, sobre seus filmes como Cidade de Deus e, principalmente, Dois Papas, que ele recentemente apresentou na Mostra Internacional de Cinema de S\u00e3o Paulo."	2315	1	54
904277726319518_2619643821449558	2019-11-02T17:48:01+0000	"Isso \u00e9 crime!"	8748	2410	2714
904277726319518_2618982318182375	2019-11-02T11:25:45+0000	"Minha coluna da semana \u00e9 sobre a geringon\u00e7a brasileira, composta por tr\u00eas partes: autoritarismo, fundamentalismo e neoliberalismo."	3882	25	444
